uid,batch_num,candidate_num,date_folder,exp,channel,file_num,start_time_file_sec,stop_time_file_sec,next_call_type,next_call_gap_s
2025_03_235_30_104_173909,6,26,2025_03,235,30,104,173.908608,174.036736,stacks,0.000896
2025_03_235_30_104_195640,6,27,2025_03,235,30,104,195.639808,195.679744,stacks,0.002304
2025_03_235_30_104_196891,6,28,2025_03,235,30,104,196.891392,196.927608,stacks,0.009736
2025_03_235_30_112_102058,6,29,2025_03,235,30,112,102.05824,102.099712,stacks,0.042624
2025_03_235_30_117_190063,6,30,2025_03,235,30,117,190.063104,190.122232,stacks,0.025352
2025_03_235_30_125_15938,7,1,2025_03,235,30,125,15.938048,15.984128,stacks,0.00064
2025_03_235_30_136_165641,7,2,2025_03,235,30,136,165.640832,165.680896,stacks,0.04992
2025_03_235_30_136_167293,7,3,2025_03,235,30,136,167.293184,167.332984,stacks,0.007048
2025_03_235_30_136_181826,7,5,2025_03,235,30,136,181.826176,181.847168,stacks,0.02432
2025_03_235_30_136_182195,7,6,2025_03,235,30,136,182.1952,182.22336,stacks,0.001408
2025_03_235_30_136_207604,7,7,2025_03,235,30,136,207.60384,207.631232,stacks,0.012032
2025_03_235_30_139_101092,7,8,2025_03,235,30,139,101.091712,101.148672,stacks,0.01472
2025_03_235_30_139_116422,7,9,2025_03,235,30,139,116.421504,116.457464,stacks,0.041352
2025_03_235_30_139_117810,7,10,2025_03,235,30,139,117.809792,117.874304,stacks,0.021632
2025_03_235_30_139_119741,7,11,2025_03,235,30,139,119.740672,119.77152,stacks,0.006528
2025_03_235_30_139_141755,7,12,2025_03,235,30,139,141.755392,141.788416,stacks,0.000256
2025_03_235_30_139_142869,7,13,2025_03,235,30,139,142.86912,142.9056,stacks,0.001792
2025_03_235_30_139_180966,7,14,2025_03,235,30,139,180.966272,181.02016,stacks,0.002432
2025_03_235_30_139_190201,7,15,2025_03,235,30,139,190.200704,190.226176,stacks,0.01664
2025_03_235_30_139_190556,7,16,2025_03,235,30,139,190.55616,190.578944,stacks,0.017664
2025_03_235_30_140_34415,7,19,2025_03,235,30,140,34.415488,34.431616,stacks,0.03328
2025_03_235_30_142_320999,7,20,2025_03,235,30,142,320.998912,321.040256,stacks,0.006656
2025_03_235_30_143_112626,7,21,2025_03,235,30,143,112.62592,112.665984,stacks,0.020096
2025_03_235_30_143_118046,7,22,2025_03,235,30,143,118.045696,118.115712,stacks,0.041216
2025_03_235_30_143_118762,7,23,2025_03,235,30,143,118.762112,118.828032,stacks,0.00128
2025_03_235_30_143_21597,7,24,2025_03,235,30,143,21.59744,21.614848,stacks,0.015616
2025_03_235_30_143_21924,7,25,2025_03,235,30,143,21.92448,21.957752,stacks,0.028168
2025_03_235_30_143_28154,7,26,2025_03,235,30,143,28.154112,28.201208,stacks,0.020872
2025_03_235_30_143_28475,7,27,2025_03,235,30,143,28.474752,28.506104,stacks,0.034824
2025_03_235_30_143_32659,7,28,2025_03,235,30,143,32.65856,32.685824,stacks,0.009088
2025_03_235_30_143_41327,7,29,2025_03,235,30,143,41.326848,41.387768,stacks,0.016648
2025_03_235_30_143_60502,7,30,2025_03,235,30,143,60.5024,60.548352,stacks,0.011136
2025_03_235_30_143_64288,8,1,2025_03,235,30,143,64.288376,64.366336,stacks,0.001792
2025_03_235_30_143_68101,8,2,2025_03,235,30,143,68.101376,68.133496,stacks,0.01908
2025_03_235_30_145_299364,8,3,2025_03,235,30,145,299.363968,299.394176,stacks,0.003072
