exp,file_num,t_entry
519,155,174.6428
513,88,144.4510
519,78,235.0570
545,172,48.0730
519,41,149.2575
519,84,345.1045
513,104,27.6969
504,68,186.3970
493,32,23.3746
505,130,96.7186
517,14,14.0162
526,16,227.6442
493,118,77.5437
497,110,26.5551
520,2,247.2789
497,191,274.6313
548,90,204.4842
545,94,215.2855
493,26,283.4724
506,35,218.7574
512,13,67.6837
504,67,257.0796
512,97,2.7612
493,86,142.9522
501,137,342.4578
504,152,108.7303
497,4,348.5116
504,106,317.7676
501,167,281.0109
497,166,92.7316
517,128,90.1430
513,105,6.0023
519,191,342.5882
497,195,8.8744
515,11,317.3602
501,135,183.2399
501,60,24.1090
519,115,11.9458
501,88,183.8555
520,4,182.8691
508,41,127.9672
501,165,206.9305
517,47,124.6025
504,178,137.7212
517,93,59.0756
535,0,225.3254
505,121,50.2750
512,96,249.1440
517,177,271.5917
518,16,201.7972
555,101,318.6394
509,4,325.1210
555,9,21.1636
565,33,355.2511
565,100,115.4823
513,43,57.5940
493,117,129.7457
518,20,67.8036
501,185,144.0194
501,192,79.1621
496,14,96.4219
501,202,84.4042
555,76,97.9156
545,75,242.7170
519,3,253.4726
496,3,276.7652
493,38,25.5320
494,43,163.0946
521,29,356.4229
497,177,97.2735
501,131,290.7146
504,8,141.7764
504,11,78.1480
565,34,173.2135
497,34,130.5256
497,210,337.9179
504,183,295.1042
515,16,324.6592
506,29,82.6299
526,7,178.6332
497,4,203.8415
501,10,176.0270
514,14,64.6309
497,204,239.9103
504,38,271.6559
517,85,173.8764
550,1,327.8884
505,85,325.1886
565,34,311.6336
545,85,49.1618
493,128,111.9021
527,2,157.4981
519,87,179.4866
512,36,83.2620
501,117,2.5645
513,147,327.1819
555,61,56.1591
517,90,263.2330
517,170,276.9272
504,54,9.5650
519,190,165.8810
517,90,65.8601
504,38,313.4301
504,11,18.3389
501,178,14.4607
565,34,87.8149
545,176,301.3479
565,29,290.3384
497,108,214.7004
504,199,132.3324
517,62,251.8046
517,32,357.9486
517,116,254.7093
505,9,107.6536
504,16,267.5986
548,114,186.2837
