exp,file_num,t_entry,motion_pre,arrival_calls,mean,std,p05,p25,dark_abs,skew
517,4,259.5403,2.9977628635346755e-05,1,100.84733581542967,52.35132598876953,10.0,64.0,0.216959375,0.1083505526185035
517,19,202.0318,2.1700223713646528e-05,3,107.2572784423828,54.89445114135742,11.0,67.0,0.2146708333333333,-0.0453821420669555
517,32,357.9486,0.0001279642058165,0,101.43395233154295,52.13565826416016,10.0,65.0,0.213903125,0.0789340808987617
517,62,251.8046,0.0032756152125279,9,99.80780792236328,53.10699462890625,9.0,64.0,0.2203932291666666,0.1907283067703247
517,84,91.6585,2.460850111856824e-06,10,103.28099060058594,53.12300109863281,10.0,66.0,0.2054223958333333,0.0662893950939178
517,90,242.0795,0.0007888143176733,0,108.2716827392578,55.3429069519043,11.0,67.0,0.2058411458333333,-0.0676558092236518
517,94,319.8328,0.0015610738255033,8,110.5478973388672,55.49483871459961,11.0,70.0,0.1996848958333333,-0.1356409639120102
517,112,171.7833,1.0961968680089486e-05,4,105.1182632446289,55.601810455322266,11.0,63.0,0.2362109375,0.010509462095797
517,119,201.6208,0.0,3,116.11644744873048,57.64497375488281,12.0,72.0,0.1959458333333333,-0.2659244239330292
517,122,355.2362,0.0,0,113.72010040283205,55.888702392578125,12.0,74.0,0.186715625,-0.2008353024721145
517,126,334.8757,0.0008995525727069,1,106.84719848632812,56.91056823730469,11.0,64.0,0.2222088541666666,0.0772939473390579
517,136,176.6026,0.0020780760626398,12,103.48148345947266,55.0312385559082,10.0,63.0,0.2315973958333333,0.0857283324003219
517,141,81.7122,0.0017776286353467,18,105.47318267822266,54.751983642578125,11.0,66.0,0.2147692708333333,0.0561151504516601
517,162,97.5389,1.3646532438478746e-05,4,108.42400360107422,54.75783157348633,11.0,68.0,0.1977505208333333,-0.0613422356545925
517,170,161.9672,0.0009040268456375,13,105.277587890625,55.39446258544922,11.0,64.0,0.232771875,-0.002376849995926
517,177,310.0108,0.0027134228187919,2,103.1427001953125,53.100074768066406,10.0,66.0,0.216240625,0.0194953121244907
517,181,125.1269,2.393736017897092e-05,8,101.31546783447266,53.677860260009766,10.0,63.0,0.2367369791666666,0.0771599188446998
517,192,129.1234,0.0,2,113.65961456298828,55.68437194824219,12.0,73.0,0.18783125,-0.2409348040819168
517,194,170.7246,0.0017436241610738,4,103.5512237548828,54.935428619384766,10.0,64.0,0.2305442708333333,0.0593433752655983
518,1,276.8047,0.0,0,113.64613342285156,55.77068710327149,11.0,73.0,0.1846609375,-0.2482504993677139
518,5,82.1768,0.0,0,107.0224838256836,54.0235481262207,11.0,67.0,0.2089994791666666,-0.0934249386191368
518,7,276.0346,0.0,2,110.76725006103516,55.16701126098633,11.0,70.0,0.1975604166666666,-0.1805209219455719
518,11,228.9637,0.0009035794183445,9,107.69451904296876,54.79834365844727,11.0,67.0,0.2116776041666666,-0.0772212147712707
518,20,67.8036,6.711409395973154e-07,0,111.0595703125,55.0284538269043,11.0,72.0,0.1896036458333333,-0.1816535145044326
519,3,253.4726,0.0023608501118568,8,100.81027221679688,54.512203216552734,9.0,63.0,0.2374854166666666,0.1229997724294662
519,14,268.4973,6.912751677852349e-05,6,101.1499481201172,55.064788818359375,10.0,63.0,0.231565625,0.1751012951135635
519,28,30.8502,7.67337807606264e-05,6,98.4207000732422,52.52870559692383,9.0,61.0,0.2340375,0.1711141318082809
519,42,168.8595,1.3422818791946307e-05,0,105.77033233642578,56.37692260742188,11.0,64.0,0.2299286458333333,0.0295062903314828
519,57,75.814,3.131991051454139e-06,5,105.28297424316406,55.75185012817383,11.0,64.0,0.230990625,-0.0067134019918739
519,82,111.7337,0.0001568232662192,4,109.9216079711914,54.465633392333984,11.0,71.0,0.1887135416666666,-0.1459211260080337
519,87,179.4866,0.0029154362416107,8,100.744384765625,53.845821380615234,10.0,61.0,0.2436755208333333,0.0866270363330841
519,96,150.815,2.6398210290827744e-05,6,101.25891876220705,52.61159896850586,9.0,65.0,0.2185052083333333,0.1018824726343154
519,111,234.3085,0.0,4,113.16744995117188,56.25968551635742,12.0,74.0,0.1815515625,-0.1461885720491409
519,115,208.7132,1.1185682326621925e-06,0,109.90899658203124,55.66196823120117,11.0,70.0,0.1974182291666666,-0.0685046017169952
519,121,337.7534,0.0,0,111.68759155273438,54.97066879272461,11.0,73.0,0.1835140625,-0.1852973401546478
519,130,178.9066,0.0,0,113.630126953125,56.43163299560547,12.0,72.0,0.1853802083333333,-0.1953343600034713
519,143,101.8786,1.2080536912751678e-05,0,107.74847412109376,54.143798828125,11.0,70.0,0.1936791666666666,-0.0643354803323745
519,155,174.6428,0.0005055928411633,0,101.31529998779295,53.57006454467773,10.0,64.0,0.2284578125,0.1116695925593376
519,190,165.881,0.0023127516778523,23,103.07760620117188,54.64458084106445,10.0,65.0,0.2158609375,0.1106935292482376
519,197,34.3236,0.0014959731543624,0,104.48358917236328,55.588470458984375,11.0,64.0,0.2293760416666666,0.0568721778690815
520,0,202.9889,0.0,6,116.4988021850586,57.66473007202149,12.0,72.0,0.1860041666666666,-0.2815226018428802
520,4,182.8691,4.47427293064877e-07,2,111.98438262939452,57.18268585205078,11.0,70.0,0.19335625,-0.1482374370098114
521,1,353.1144,0.0026221476510067,7,102.66783142089844,56.53292465209961,10.0,60.0,0.2444619791666666,0.0886422544717788
521,29,356.4229,0.000372706935123,0,97.74755859375,53.438232421875,8.0,58.0,0.2593505208333333,0.1392795741558075
521,53,33.373,0.0031391498881431,1,105.32711791992188,55.59781265258789,11.0,66.0,0.2188770833333333,0.0153303798288106
525,1,224.9073,2.371364653243848e-05,13,109.36508178710938,58.044227600097656,11.0,61.0,0.2394921875,-0.1100189834833145
525,12,42.5038,0.0027407158836689,0,105.68587493896484,56.80439758300781,10.0,60.0,0.2440619791666666,-0.0176897086203098
