exp,file_num,t_entry,motion_pre,arrival_calls,cat
497,116,18.2392,1.1185682326621925e-06,0,sleeping
497,116,235.2988,4.921700223713648e-06,3,sleeping
497,116,320.3898,2.237136465324385e-07,1,sleeping
497,117,220.1912,0.0017230425055928,2,sleeping
497,119,47.0398,7.158836689038031e-06,0,sleeping
497,120,184.3758,4.921700223713648e-06,4,sleeping
497,122,120.8331,6.711409395973154e-07,5,sleeping
497,122,326.1739,4.362416107382551e-05,6,sleeping
497,123,168.5015,0.002976062639821,8,sleeping
497,123,192.8267,0.0088107382550335,4,active
497,124,175.1112,5.369127516778524e-06,0,sleeping
497,124,310.9124,0.0008228187919463,12,sleeping
497,124,319.5416,0.0151042505592841,1,active
497,125,112.7768,0.0052897091722595,5,active
497,126,156.2003,0.0084185682326621,9,active
497,127,155.9048,0.0181062639821029,7,active
497,127,342.8008,0.0144413870246084,4,active
497,128,199.4821,0.0036633109619686,2,sleeping
497,129,213.4871,0.0045190156599552,2,active
497,129,227.7797,0.0043279642058165,5,active
497,130,321.0451,0.007317673378076,9,active
497,131,21.7191,0.0133196868008948,8,active
497,131,200.3553,0.0003131991051454,1,empty
497,132,43.193,0.0106055928411633,0,active
497,132,96.0994,0.0131261744966442,2,active
497,132,156.7999,0.0169313199105145,0,active
497,132,203.0817,0.0052239373601789,4,active
497,133,125.3734,0.0025729306487695,2,empty
497,134,193.3365,0.0,0,empty
497,134,273.6694,0.0268331096196868,5,active
497,134,325.7253,0.0032834451901565,2,empty
497,134,342.5536,0.02202774049217,1,active
497,135,30.2161,0.0182340044742729,8,active
497,135,114.9225,0.0072552572706935,3,active
497,135,312.8142,0.0,0,empty
497,136,15.5938,0.0,0,empty
497,136,191.9017,0.0,0,empty
497,136,320.2575,0.0186550335570469,3,active
497,137,205.6043,0.0173881431767337,4,active
497,137,272.2021,0.0038078299776286,0,active
497,138,128.6562,0.0,3,empty
497,138,243.5887,0.0337565995525727,0,active
497,138,347.5019,0.0221852348993288,10,active
497,139,112.0063,0.0297946308724832,7,active
497,139,192.4545,0.0044342281879194,0,active
497,139,349.5746,0.0215581655480984,0,active
497,140,22.5718,0.0075666666666666,6,active
497,140,71.4267,0.0001239373601789,6,sleeping
497,140,153.861,0.0182324384787472,7,active
497,140,315.8729,0.0038463087248322,3,active
497,140,343.0705,0.0013472035794183,0,empty
497,141,109.3422,0.0001608501118568,0,sleeping
497,141,185.7277,0.006044966442953,12,active
497,141,281.1205,9.038031319910516e-05,6,sleeping
497,142,68.8571,0.0055872483221476,12,active
497,142,86.4462,0.0048657718120805,12,active
497,143,108.4265,8.389261744966443e-05,7,sleeping
497,143,226.4707,0.0002357941834451,1,sleeping
497,143,339.8051,0.0063914988814317,0,active
497,153,149.6344,0.0048697986577181,2,active
497,154,50.5059,5.369127516778522e-05,5,sleeping
497,154,304.5582,0.0013917225950782,9,sleeping
497,155,270.6309,1.1409395973154363e-05,9,sleeping
497,155,347.529,6.263982102908277e-06,4,sleeping
497,156,185.0002,8.053691275167787e-06,0,sleeping
497,156,277.0047,0.0009402684563758,2,sleeping
497,156,348.7857,0.0038935123042505,9,active
497,157,143.6024,6.711409395973154e-07,3,sleeping
497,161,213.3559,4.921700223713647e-06,13,sleeping
497,161,313.569,5.8165548098434e-06,9,sleeping
497,164,329.8587,9.507829977628635e-05,4,sleeping
497,165,350.0295,6.711409395973154e-07,2,sleeping
