exp,file_num,t_entry,t_out,in_tunnel,motion_pre,motion_pre_max,still_frac,motion_post,arrival_calls,arrival_rate
493,33,114.373,115.0667,0.6936999999999927,0.0154552572706935,0.0459333333333333,0.1342281879194631,0.0426423728813559,4,1.6
493,33,176.2112,181.5333,5.322100000000006,0.0162532438478747,0.0733333333333333,0.3758389261744966,0.0275796610169491,7,2.8
493,33,184.0668,184.9,0.833200000000005,0.0253570469798657,0.0531666666666666,0.0,0.025402824858757,6,2.4
493,33,189.329,190.1,0.7709999999999866,0.0251118568232662,0.0865,0.0201342281879194,0.0579937853107344,6,2.4
493,33,232.7782,233.4333,0.6551000000000045,0.0305212527964205,0.0740333333333333,0.0,0.0322610169491525,9,3.6
493,33,236.535,237.2667,0.7316999999999894,0.0324107382550335,0.0922,0.0268456375838926,0.0463694915254237,6,2.4
493,33,258.8663,259.5,0.6336999999999762,0.0263299776286353,0.0588333333333333,0.0201342281879194,0.0476163841807909,3,1.2
493,33,276.6783,277.6667,0.9884000000000128,0.0210548098434004,0.089,0.1275167785234899,0.0444525423728813,8,3.2
493,33,337.5293,338.1667,0.6374000000000137,0.0227478747203579,0.0465666666666666,0.0,0.0609706214689265,5,2.0
493,33,339.2757,339.9667,0.6910000000000309,0.0314552572706935,0.0949,0.0,0.0636745762711864,2,0.8
493,34,35.0491,36.2333,1.184199999999997,0.0300608501118568,0.1107666666666666,0.0,0.0369627118644067,3,1.2
493,34,49.0568,49.7667,0.7098999999999975,0.0308201342281879,0.0653666666666666,0.0067114093959731,0.046993220338983,4,1.6
493,34,104.3213,105.0,0.6787000000000063,0.0373217002237136,0.0667,0.0,0.040357627118644,0,0.0
493,34,314.2949,314.8667,0.5717999999999961,0.0241731543624161,0.0712,0.0,0.0477971751412429,4,1.6
493,34,322.7679,323.8667,1.098799999999983,0.0117393736017897,0.0308666666666666,0.2751677852348993,0.0308887005649717,5,2.0
493,34,346.4031,347.0333,0.6302000000000021,0.0299114093959731,0.0656,0.0,0.046522033898305,0,0.0
493,35,36.681,42.9,6.219000000000001,0.0231897091722595,0.0488333333333333,0.0,0.0319779661016949,1,0.4
493,35,203.9922,208.4333,4.441100000000006,0.012241610738255,0.0571333333333333,0.4765100671140939,0.0395107344632768,16,6.4
